Estado	Clave estado	Clave	Nombre Estación	Municipio	Situación
Coahuila de Zaragoza	coah	05018	Las Nieves	Parras	Operando
Coahuila de Zaragoza	coah	05017	La Palma	Torreón	Operando
Coahuila de Zaragoza	coah	05016	General Cepeda	General Cepeda	Operando
Coahuila de Zaragoza	coah	05015	Eutimias	Ocampo	Suspendida
Coahuila de Zaragoza	coah	05013	Ejido San Miguel	Ocampo	Operando
Coahuila de Zaragoza	coah	05012	Ejido San Blas	San Buenaventura	Suspendida
Coahuila de Zaragoza	coah	05011	Ejido Reata	Ramos Arizpe	Operando
Coahuila de Zaragoza	coah	05010	Ejido El Socorro	Ocampo	Suspendida
Coahuila de Zaragoza	coah	05009	Cuatro Cienegas (Dge)	Cuatro Ciénegas	Suspendida
Coahuila de Zaragoza	coah	05008	Conchos	San Juan De Sabinas	Suspendida
Coahuila de Zaragoza	coah	05007	Concordia	San Pedro	Suspendida
Coahuila de Zaragoza	coah	05006	Colonia Torreon Jardin	Torreón	Suspendida
Coahuila de Zaragoza	coah	05005	Candela (Dge)	Candela	Operando
Coahuila de Zaragoza	coah	05004	Bajio De Ahuichila	Viesca	Operando
Coahuila de Zaragoza	coah	05003	Arteaga (Smn)	Arteaga	Operando
Coahuila de Zaragoza	coah	05002	Allende (Smn)	Allende	Operando
Coahuila de Zaragoza	coah	05001	Agua Nueva	Guerrero	Suspendida
Campeche	camp	04087	Pocboc	Hecelchakán	Suspendida
Campeche	camp	04086	El Zapote	Carmen	Operando
Campeche	camp	04085	Pomuch	Hecelchakán	Operando
Campeche	camp	04084	Tixmucuy	Campeche	Operando
Campeche	camp	04083	Entre Hermanos	Carmen	Operando
Campeche	camp	04082	Pablo T. Burgos	Candelaria	Operando
Campeche	camp	04081	Cristobal Colon	Calakmul	Operando
Campeche	camp	04080	Alvarado	Calakmul	Operando
Campeche	camp	04079	Vista Alegre	Carmen	Operando
Campeche	camp	04078	Chac Cheito	Champotón	Operando
Campeche	camp	04077	San Juan Bautista	Hopelchén	Operando
Campeche	camp	04076	Chunchintok	Hopelchén	Operando
Campeche	camp	04075	Canki	Tenabo	Operando
Campeche	camp	04073	Tenabo (Dge)	Tenabo	Suspendida
Campeche	camp	04072	Siho Chac	Champotón	Operando
Campeche	camp	04071	Pocyaxun	Campeche	Operando
Campeche	camp	04070	Dzitbalche	Calkiní	Operando
Campeche	camp	04068	China	Campeche	Operando
Campeche	camp	04067	Calkini (Dge)	Calkiní	Suspendida
Campeche	camp	04066	Xcupil (Dge)	Hopelchén	Operando
Campeche	camp	04065	Nunkini	Calkiní	Suspendida
Campeche	camp	04064	Becal	Calkiní	Operando
Campeche	camp	04063	Edzna Ii	Campeche	Operando
Campeche	camp	04062	Yohaltun	Champotón	Operando
Campeche	camp	04061	Conhuas	Calakmul	Operando
Campeche	camp	04060	Xbonil	Calakmul	Operando
Campeche	camp	04059	Tinun	Tenabo	Operando
Campeche	camp	04058	Noh Yaxche	Campeche	Operando
Campeche	camp	04057	Mamantel	Carmen	Operando
Campeche	camp	04056	Molino Chumpan	Palizada	Operando
Campeche	camp	04055	Campo Experimental El Tormento	Escárcega	Suspendida
Campeche	camp	04054	Chicbul	Carmen	Operando
Campeche	camp	04053	Santa Cristina	Campeche	Operando
Campeche	camp	04052	Canasayab	Champotón	Operando
Campeche	camp	04051	E.T.A. 086 Calkini	Calkiní	Suspendida
Campeche	camp	04050	E.T.A. 006 Tenabo	Tenabo	Suspendida
Campeche	camp	04047	Castamay	Campeche	Suspendida
Campeche	camp	04046	Altamira	Escárcega	Suspendida
Campeche	camp	04045	Edzna I	Campeche	Suspendida
Campeche	camp	04044	Pixoyal (Smn)	Champotón	Operando
Campeche	camp	04043	Hecelchakan (Smn)	Hecelchakán	Operando
Campeche	camp	04042	Escarcega (Dge)	Escárcega	Suspendida
Campeche	camp	04041	Champoton (Dge)	Champotón	Operando
Campeche	camp	04040	El Carmen (Dge)	Carmen	Suspendida
Campeche	camp	04039	Candelaria (Dge)	Candelaria	Suspendida
Campeche	camp	04038	Campeche (Dge)	Campeche	Operando
Campeche	camp	04037	Zoh Laguna	Calakmul	Operando
Campeche	camp	04036	Xpugil	Calakmul	Operando
Campeche	camp	04035	Xmaben	Hopelchén	Suspendida
Campeche	camp	04034	Xcupil (Smn)	Hopelchén	Suspendida
Campeche	camp	04033	Triangulo Oeste	Celestún	Suspendida
Campeche	camp	04032	Tenabo (Smn)	Tenabo	Suspendida
Campeche	camp	04031	Silvituc	Escárcega	Operando
Campeche	camp	04030	San Isidro	Carmen	Operando
Campeche	camp	04029	Sabancuy	Carmen	Operando
Campeche	camp	04028	Pustunich	Champotón	Operando
Campeche	camp	04027	Placeres	Calakmul	Suspendida
Campeche	camp	04026	Pixoyal (Dge)	Champotón	Operando
Campeche	camp	04025	Palmar De Vista Alegre	Palizada	Operando
Campeche	camp	04024	Palizada	Palizada	Operando
Campeche	camp	04023	Nilchi	Campeche	Operando
Campeche	camp	04021	Monclova	Candelaria	Operando
Campeche	camp	04020	Miguel Hidalgo	Candelaria	Suspendida
Campeche	camp	04019	Nanzal	Carmen	Suspendida
Campeche	camp	04018	La Esperanza	Calakmul	Suspendida
Campeche	camp	04017	Iturbide	Hopelchén	Operando
Campeche	camp	04016	Isla Perez	Insular - Sin Municipio	Suspendida
Campeche	camp	04015	Isla Aguada	Carmen	Operando
Campeche	camp	04014	Isla Arenas	Calkiní	Operando
Campeche	camp	04013	Hopelchen	Hopelchén	Operando
Campeche	camp	04012	Hool	Champotón	Operando
Campeche	camp	04011	Hecelchakan (Dge)	Hecelchakán	Operando
Campeche	camp	04010	Escarcega (Smn)	Escárcega	Operando
Campeche	camp	04009	Dzibalchen	Hopelchén	Operando
Campeche	camp	04008	Champoton (Smn)	Champotón	Suspendida
Campeche	camp	04007	El Carmen (Smn)	Carmen	Operando
Campeche	camp	04006	Cayo Arenas	Progreso	Suspendida
Campeche	camp	04005	Cayo Arcas	Campeche	Suspendida
Campeche	camp	04004	Candelaria (Smn)	Candelaria	Operando
Campeche	camp	04003	Campeche (Obs)	Campeche	Operando
Campeche	camp	04002	Calkini (Smn)	Calkiní	Operando
Campeche	camp	04001	Bolonchen	Hopelchén	Operando
Baja California Sur	bcs	03198	Potrerillos	La Paz	Operando
Baja California Sur	bcs	03197	La Palmilla	La Paz	Operando
Baja California Sur	bcs	03196	La Higuerilla	La Paz	Operando
Baja California Sur	bcs	03195	Quemado	La Paz	Operando
Baja California Sur	bcs	03194	Buenavista Sur	La Paz	Operando
Baja California Sur	bcs	03191	San Francisco De La Sierra	Mulegé	Operando
Baja California Sur	bcs	03190	San Lazaro	Los Cabos	Suspendida
Baja California Sur	bcs	03189	El Sauzal	Los Cabos	Operando
Baja California Sur	bcs	03188	San Javier Sur	Los Cabos	Operando
Baja California Sur	bcs	03187	El Ihuajil	Comondú	Operando
Baja California Sur	bcs	03186	Agua De San Antonio	La Paz	Operando
Baja California Sur	bcs	03185	Santa Martha	Mulegé	Operando
Baja California Sur	bcs	03184	Josefa Ortiz De Dominguez	Comondú	Operando
Baja California Sur	bcs	03183	San Vicente De La Sierra	La Paz	Operando
Baja California Sur	bcs	03182	El Crucero	La Paz	Operando
Baja California Sur	bcs	03181	La Nueva California	Los Cabos	Suspendida
Baja California Sur	bcs	03180	Ley Federal De Aguas 1	Comondú	Operando
Baja California Sur	bcs	03179	Ley Federal De Aguas 4	Comondú	Operando
Baja California Sur	bcs	03178	Santa Ines	La Paz	Operando
Baja California Sur	bcs	03177	Valle Perdido	La Paz	Operando
Baja California Sur	bcs	03176	La Fortuna	La Paz	Operando
Baja California Sur	bcs	03175	La Muela	La Paz	Operando
Baja California Sur	bcs	03174	Guerrero Negro	Mulegé	Operando
Baja California Sur	bcs	03173	San Pedrito (Cfe)	Comondú	Suspendida
Baja California Sur	bcs	03172	Guajademi	Comondú	Operando
Baja California Sur	bcs	03169	Santa Rosalia (Obs)	Mulegé	Operando
Baja California Sur	bcs	03168	Loreto (Obs)	Loreto	Operando
Baja California Sur	bcs	03167	El Sargento	La Paz	Operando
Baja California Sur	bcs	03166	Pabellon	Comondú	Operando
Baja California Sur	bcs	03165	Junta De Los Arroyos	La Paz	Suspendida
Baja California Sur	bcs	03163	Agua Caliente	Los Cabos	Operando
Baja California Sur	bcs	03162	Las Barrancas	Comondú	Suspendida
Baja California Sur	bcs	03158	San Martin	Mulegé	Operando
Baja California Sur	bcs	03156	San Miguel	Mulegé	Operando
Baja California Sur	bcs	03155	San Raymundo	Comondú	Operando
Baja California Sur	bcs	03154	Ley Federal De Aguas 5	Comondú	Operando
Baja California Sur	bcs	03151	Pichilingue	La Paz	Suspendida
Baja California Sur	bcs	03150	Tiguana	Comondú	Suspendida
Baja California Sur	bcs	03149	San Isidro	La Paz	Suspendida
Baja California Sur	bcs	03148	El Mezquital	Mulegé	Operando
Baja California Sur	bcs	03147	Aguajito	Comondú	Suspendida
Baja California Sur	bcs	03146	Santa Rita	La Paz	Operando
Baja California Sur	bcs	03144	Mangle	Los Cabos	Operando
Baja California Sur	bcs	03143	Las Palmas	La Paz	Operando
Baja California Sur	bcs	03141	San Lucas Norte	Comondú	Operando
Baja California Sur	bcs	03140	San Juan De La Costa	La Paz	Suspendida
Baja California Sur	bcs	03139	C.E.F. La Paz	La Paz	Suspendida
Baja California Sur	bcs	03138	Ligui	Loreto	Operando
Baja California Sur	bcs	03137	La Soledad Sur	La Paz	Operando
Baja California Sur	bcs	03136	Los Filos	La Paz	Suspendida
Baja California Sur	bcs	03135	La Candelaria	Los Cabos	Operando
Baja California Sur	bcs	03134	Los Cantilitos	La Paz	Operando
Baja California Sur	bcs	03133	San Antonio Norte	Loreto	Operando
Baja California Sur	bcs	03132	Ciudad Constitucion (Obs)	Comondú	Operando
Baja California Sur	bcs	03131	Santa Fe	La Paz	Operando
Baja California Sur	bcs	03130	San Ramon	Comondú	Operando
Baja California Sur	bcs	03129	San Nicolas	Loreto	Operando
Baja California Sur	bcs	03128	San Luis Gonzaga	Comondú	Operando
Baja California Sur	bcs	03126	San Antonio De La Sierra	Comondú	Operando
Baja California Sur	bcs	03125	San Agustin	La Paz	Suspendida
Baja California Sur	bcs	03124	Ramaditas	Comondú	Operando
Baja California Sur	bcs	03123	Punta Eugenia	Mulegé	Operando
Baja California Sur	bcs	03122	Guillermo Prieto	Mulegé	Operando
Baja California Sur	bcs	03121	El Datil	Mulegé	Operando
Baja California Sur	bcs	03120	Colonia Plutarco Elias Calles	La Paz	Operando
Baja California Sur	bcs	03119	Benito Juarez	Mulegé	Operando
Baja California Sur	bcs	03117	Bahia Asuncion	Mulegé	Operando
Baja California Sur	bcs	03116	Los Cerritos	Comondú	Operando
Baja California Sur	bcs	03115	Los Laureles	Mulegé	Suspendida
Baja California Sur	bcs	03114	Ensenada De Muertos	La Paz	Suspendida
Baja California Sur	bcs	03113	El Conejo	La Paz	Suspendida
Baja California Sur	bcs	03112	El Cardon	Mulegé	Suspendida
Baja California Sur	bcs	03110	Alfredo V. Bonfil	La Paz	Operando
Baja California Sur	bcs	03109	La Poza De Leon	Comondú	Operando
Baja California Sur	bcs	03108	Huatamote	Loreto	Operando
Baja California Sur	bcs	03107	Santa Agueda	Mulegé	Operando
Baja California Sur	bcs	03106	San Jose Del Pacifico	Mulegé	Suspendida
Baja California Sur	bcs	03105	San Ignacio De Los Romero	Comondú	Operando
Baja California Sur	bcs	03104	Los Robles	La Paz	Operando
Baja California Sur	bcs	03103	San Jose De Magdalena	Mulegé	Operando
Baja California Sur	bcs	03102	Emiliano Zapata	Mulegé	Operando
Baja California Sur	bcs	03101	Villa Morelos	Comondú	Operando
Baja California Sur	bcs	03100	San Zacarias	Mulegé	Operando
Baja California Sur	bcs	03099	San Juan Londo	Loreto	Operando
Baja California Sur	bcs	03098	Los Dolores	Mulegé	Operando
Baja California Sur	bcs	03097	El Pescadero	La Paz	Operando
Baja California Sur	bcs	03096	Las Cuevas	Los Cabos	Operando
Baja California Sur	bcs	03095	E.T.A. 184 Villa Insurgentes	Comondú	Suspendida
Baja California Sur	bcs	03094	Santa Anita	Los Cabos	Operando
Baja California Sur	bcs	03093	San Bruno	Mulegé	Operando
Baja California Sur	bcs	03077	El Carrizal	La Paz	Operando
Baja California Sur	bcs	03076	Todos Santos (Smn)	La Paz	Suspendida
Baja California Sur	bcs	03075	San Pedro De La Presa	La Paz	Operando
Baja California Sur	bcs	03074	La Paz (Dge)	La Paz	Operando
Baja California Sur	bcs	03073	Gustavo Diaz Ordaz	Mulegé	Operando
Baja California Sur	bcs	03072	El Coyote	Mulegé	Suspendida
Baja California Sur	bcs	03070	Vizcaino	Mulegé	Suspendida
Baja California Sur	bcs	03069	Villa Insurgentes	Comondú	Operando
Baja California Sur	bcs	03068	Villa Constitucion	Comondú	Operando
Baja California Sur	bcs	03067	Yeneka	Los Cabos	Operando
Baja California Sur	bcs	03066	Todos Santos (Dge)	La Paz	Operando
Baja California Sur	bcs	03065	Tepentu	Comondú	Operando
Baja California Sur	bcs	03064	Sierra De La Laguna	La Paz	Suspendida
Baja California Sur	bcs	03063	Santo Domingo	Comondú	Operando
Baja California Sur	bcs	03062	Santiago	Los Cabos	Operando
Baja California Sur	bcs	03061	Santa Rosalia (Dge)	Mulegé	Operando
Baja California Sur	bcs	03060	Santa Gertrudis	La Paz	Operando
Baja California Sur	bcs	03058	San Pedro	La Paz	Operando
Baja California Sur	bcs	03057	San Juanico	Comondú	Operando
Baja California Sur	bcs	03056	San Jose Del Cabo	Los Cabos	Operando
Baja California Sur	bcs	03055	San Jose De Gracia	Mulegé	Operando
Baja California Sur	bcs	03054	San Javier	Loreto	Operando
Baja California Sur	bcs	03053	San Jacinto	La Paz	Operando
Baja California Sur	bcs	03052	San Ignacio	Mulegé	Operando
Baja California Sur	bcs	03051	San Felipe	Los Cabos	Operando
Baja California Sur	bcs	03050	San Bartolo	La Paz	Operando
Baja California Sur	bcs	03049	San Antonio Sur	La Paz	Operando
Baja California Sur	bcs	03048	Boca De La Sierra	Los Cabos	Operando
Baja California Sur	bcs	03047	Punta Abreojos	Mulegé	Operando
Baja California Sur	bcs	03046	Puerto Cortes (Obs)	Comondú	Suspendida
Baja California Sur	bcs	03045	Puerto San Carlos	Comondú	Operando
Baja California Sur	bcs	03044	San Lucas	Mulegé	Operando
Baja California Sur	bcs	03043	Puerto Adolfo Lopez Mateos	Comondú	Operando
Baja California Sur	bcs	03042	Las Pocitas	La Paz	Operando
Baja California Sur	bcs	03041	Patrocinio	Mulegé	Operando
Baja California Sur	bcs	03040	El Ciruelito	La Paz	Operando
Baja California Sur	bcs	03039	Ojo De Agua	Comondú	Suspendida
Baja California Sur	bcs	03038	Mulege	Mulegé	Operando
Baja California Sur	bcs	03037	San Juan De Los Planes	La Paz	Operando
Baja California Sur	bcs	03036	Los Divisaderos	La Paz	Operando
Baja California Sur	bcs	03035	Loreto (Dge)	Loreto	Operando
Baja California Sur	bcs	03034	Las Lagunas	Mulegé	Suspendida
Baja California Sur	bcs	03033	Las Cruces	Comondú	Operando
Baja California Sur	bcs	03032	Las Barracas	Los Cabos	Operando
Baja California Sur	bcs	03031	La Soledad Nte	La Paz	Operando
Baja California Sur	bcs	03030	La Ribera	Los Cabos	Operando
Baja California Sur	bcs	03029	La Purisima	Comondú	Operando
Baja California Sur	bcs	03028	La Poza Honda	Comondú	Operando
Baja California Sur	bcs	03027	La Poza Grande	Comondú	Operando
Baja California Sur	bcs	03026	La Paz (Obs)	La Paz	Operando
Baja California Sur	bcs	03025	La Palma	Mulegé	Suspendida
Baja California Sur	bcs	03024	La Maquina	Loreto	Suspendida
Baja California Sur	bcs	03023	Lagunillas	La Paz	Operando
Baja California Sur	bcs	03022	La Angostura	Comondú	Operando
Baja California Sur	bcs	03021	La Aguja	La Paz	Suspendida
Baja California Sur	bcs	03020	Iraky	La Paz	Operando
Baja California Sur	bcs	03019	Guadalupe	Mulegé	Operando
Baja California Sur	bcs	03018	El Triunfo	La Paz	Operando
Baja California Sur	bcs	03017	El Tablon	Mulegé	Suspendida
Baja California Sur	bcs	03016	El Rosarito	Mulegé	Operando
Baja California Sur	bcs	03015	El Rosario	La Paz	Operando
Baja California Sur	bcs	03014	El Molino	Comondú	Operando
Baja California Sur	bcs	03013	El Pilar	La Paz	Operando
Baja California Sur	bcs	03012	El Paso De Iritu	La Paz	Operando
Baja California Sur	bcs	03011	El Cajoncito	La Paz	Operando
Baja California Sur	bcs	03010	El Alamo	Mulegé	Suspendida
Baja California Sur	bcs	03009	El Aguajito	La Paz	Operando
Baja California Sur	bcs	03008	Comondu	Comondú	Operando
Baja California Sur	bcs	03007	Caduaño	Los Cabos	Operando
Baja California Sur	bcs	03006	Cadege	Comondú	Operando
Baja California Sur	bcs	03005	Cabo San Lucas	Los Cabos	Operando
Baja California Sur	bcs	03004	Buenavista De Loreto	Comondú	Operando
Baja California Sur	bcs	03003	Boca Del Salado	Los Cabos	Operando
Baja California Sur	bcs	03002	Bahia Tortugas	Mulegé	Operando
Baja California Sur	bcs	03001	Aeropuerto Viejo	La Paz	Suspendida
Baja California	bc	02168	Loma Tova	Tecate	Operando
Baja California	bc	02167	Rancho Meling	San Quintín	Suspendida
Baja California	bc	02166	San Pedro Martir (Obs. Astron.)	Ensenada	Suspendida
Baja California	bc	02165	Mesa De San Jacinto	San Quintín	Operando
Baja California	bc	02164	Ejido El Porvenir	Ensenada	Operando
Baja California	bc	02163	Ejido Nuevo Leon (Obs)	Mexicali	Operando
Baja California	bc	02162	Camalajue	Ensenada	Suspendida
Baja California	bc	02160	Ejido Jamau	Ensenada	Suspendida
Baja California	bc	02156	El Florido	Ensenada	Operando
Baja California	bc	02154	Colonia Zacatecas	Mexicali	Operando
Baja California	bc	02153	Ejido Uruapan	Ensenada	Operando
Baja California	bc	02152	Ejido Jose Maria Pino Suarez	Tecate	Operando
Baja California	bc	02151	Agua De Chale	Ensenada	Operando
Baja California	bc	02150	Punta Final	Ensenada	Suspendida
Baja California	bc	02149	Puertecitos	Ensenada	Suspendida
Baja California	bc	02148	San Felipe (Obs)	Mexicali	Operando
Baja California	bc	02146	Colonia San Pedro Martir	Ensenada	Suspendida
Baja California	bc	02145	Rancho Williams	Mexicali	Suspendida
Baja California	bc	02144	Ensenada Blanca	San Quintín	Suspendida
Baja California	bc	02143	Ejido Plan Libertador	Playas De Rosarito	Suspendida
Baja California	bc	02142	Ejido Guadalajara	Mexicali	Suspendida
Baja California	bc	02141	Compuerta Benassini	Mexicali	Operando
Baja California	bc	02140	Colonia Zaragoza	Mexicali	Suspendida
Baja California	bc	02139	Colonia Rodriguez	Mexicali	Operando
Baja California	bc	02138	Colonia Siete	Mexicali	Operando
Baja California	bc	02137	Colonia Mariana	Mexicali	Operando
Baja California	bc	02136	Agua Hechicera	Tecate	Suspendida
Baja California	bc	02134	Ejido Cuernavaca	Mexicali	Suspendida
Baja California	bc	02132	Ejido Zarahemila	San Quintín	Suspendida
Baja California	bc	02131	Ejido Ruben Jaramillo	San Quintín	Suspendida
Baja California	bc	02124	El Carrizo Ii	Tecate	Operando
Baja California	bc	02122	Real Del Castillo Viejo	Ensenada	Suspendida
Baja California	bc	02121	El Hongo	Tecate	Operando
Baja California	bc	02120	Ejido Mexico	Ensenada	Operando
Baja California	bc	02119	Cancio	Tijuana	Suspendida
Baja California	bc	02118	Valle De San Rafael	Ensenada	Operando
Baja California	bc	02114	Ejido Carmen Serdan	Tecate	Operando
Baja California	bc	02111	Ejido Nuevo Baja California	San Quintín	Operando
Baja California	bc	02110	Guayaquil	San Quintín	Operando
Baja California	bc	02109	Santa Rosalita	San Quintín	Operando
Baja California	bc	02108	Punta Banda	Ensenada	Operando
Baja California	bc	02107	Percebu	Ensenada	Operando
Baja California	bc	02106	Maneadero	Ensenada	Suspendida
Baja California	bc	02105	San Pedro Martir (Parque Nacional)	San Quintín	Suspendida
Baja California	bc	02104	El Cipres	Ensenada	Suspendida
Baja California	bc	02102	La Ventana	Mexicali	Suspendida
Baja California	bc	02101	El Centinela	Mexicali	Operando
Baja California	bc	02100	Ejido Leandro Valle	Ensenada	Suspendida
Baja California	bc	02099	Rancho Los Algodones	Ensenada	Suspendida
Baja California	bc	02097	Laguna Salada	Mexicali	Suspendida
Baja California	bc	02096	La Calentura	Ensenada	Operando
Baja California	bc	02095	La Bocana De Santo Tomas	San Quintín	Suspendida
Baja California	bc	02094	El Farito	Ensenada	Suspendida
Baja California	bc	02093	Ejido Valle De La Trinidad	Mexicali	Operando
Baja California	bc	02092	Ejido San Matias	Ensenada	Operando
Baja California	bc	02091	Ejido Ignacio Lopez Rayon	Ensenada	Operando
Baja California	bc	02090	Ejido Erendira	Ensenada	Suspendida
Baja California	bc	02089	Ejido Emilio Lopez Zamora	Ensenada	Suspendida
Baja California	bc	02088	Ejido Heroes De La Independencia	Ensenada	Operando
Baja California	bc	02087	Ejido Doctor Oviedo Mota	Mexicali	Suspendida
Baja California	bc	02086	Ejido Jacume	Tecate	Operando
Baja California	bc	02085	San Regis	San Quintín	Suspendida
Baja California	bc	02084	El Progreso	San Quintín	Operando
Baja California	bc	02079	El Alamar	Ensenada	Suspendida
Baja California	bc	02078	Rancho P. P. Cuchuma	Tecate	Operando
Baja California	bc	02077	La Mision	Ensenada	Operando
Baja California	bc	02076	Las Palomas	San Quintín	Suspendida
Baja California	bc	02075	Santa Gertrudis Mision	San Quintín	Operando
Baja California	bc	02073	Tijuana (Cfe)	Tijuana	Suspendida
Baja California	bc	02072	Presa Emilio Lopez Zamora	Ensenada	Operando
Baja California	bc	02071	Colonia Valle De La Trinidad	Ensenada	Suspendida
Baja California	bc	02070	Valle Redondo	Tijuana	Suspendida
Baja California	bc	02069	Valle De Las Palmas	Tecate	Operando
Baja California	bc	02068	Tijuana	Tijuana	Suspendida
Baja California	bc	02067	Tepic	Ensenada	Suspendida
Baja California	bc	02066	Laguna Hanson A. Sierra De Juarez	Ensenada	Suspendida
Baja California	bc	02065	Santo Tomas	Ensenada	Operando
Baja California	bc	02064	Santo Domingo	Ensenada	Suspendida
Baja California	bc	02063	Santa Maria Del Mar	San Quintín	Operando
Baja California	bc	02062	Santa Isabel	Ensenada	Suspendida
Baja California	bc	02061	Santa Gertrudis	San Quintín	Suspendida
Baja California	bc	02060	Santa Cruz	San Quintín	Suspendida
Baja California	bc	02059	Santa Clara	Mexicali	Operando
Baja California	bc	02058	Santa Catarina Sur	San Quintín	Operando
Baja California	bc	02057	Santa Catarina Norte	Ensenada	Suspendida
Baja California	bc	02056	San Vicente	Ensenada	Operando
Baja California	bc	02055	San Telmo	San Quintín	Operando
Baja California	bc	02054	San Rafael	San Quintín	Suspendida
Baja California	bc	02053	San Miguel	San Quintín	Suspendida
Baja California	bc	02052	San Luis Gonzaga	Ensenada	Suspendida
Baja California	bc	02051	San Luis Baja California	San Quintín	Suspendida
Baja California	bc	02050	San Juan De Dios Sur	San Quintín	Suspendida
Baja California	bc	02049	San Juan De Dios Norte	Ensenada	Suspendida
Baja California	bc	02048	San Jose	San Quintín	Suspendida
Baja California	bc	02047	San Fernando	San Quintín	Suspendida
Baja California	bc	02046	San Felipe	Mexicali	Operando
Baja California	bc	02045	San Carlos	Ensenada	Suspendida
Baja California	bc	02044	San Borja	San Quintín	Operando
Baja California	bc	02043	San Agustin	San Quintín	Operando
Baja California	bc	02042	Rosarito	Playas De Rosarito	Suspendida
Baja California	bc	02041	Nuevo Rosarito	San Quintín	Operando
Baja California	bc	02040	Rancho Alegre	San Quintín	Operando
Baja California	bc	02039	Punta Prieta	San Quintín	Operando
Baja California	bc	02038	Presa Rodriguez	Tijuana	Operando
Baja California	bc	02037	Presa Morelos	Mexicali	Operando
Baja California	bc	02036	Olivares Mexicanos	Ensenada	Operando
Baja California	bc	02035	Ojos Negros	Ensenada	Suspendida
Baja California	bc	02034	Mexicali (Smn)	Mexicali	Operando
Baja California	bc	02033	Mexicali (Dge)	Mexicali	Suspendida
Baja California	bc	02032	Las Escobas	San Quintín	Operando
Baja California	bc	02031	La Rumorosa	Tecate	Operando
Baja California	bc	02030	La Puerta	Tecate	Operando
Baja California	bc	02029	La Providencia	San Quintín	Suspendida
Baja California	bc	02027	Isla Cedros	Insular - Sin Municipio	Suspendida
Baja California	bc	02026	Isla Guadalupe (Obs)	Insular - Sin Municipio	Suspendida
Baja California	bc	02025	Ensenada (Obs)	Ensenada	Operando
Baja California	bc	02024	El Testerazo	Tecate	Operando
Baja California	bc	02023	El Socorro	San Quintín	Operando
Baja California	bc	02022	El Rosario	San Quintín	Operando
Baja California	bc	02021	El Pinal	Ensenada	Suspendida
Baja California	bc	02020	El Mayor	Mexicali	Operando
Baja California	bc	02019	El Compadre	Tecate	Suspendida
Baja California	bc	02017	Planta De Bombeo Rosarito	Playas De Rosarito	Suspendida
Baja California	bc	02016	El Barril	San Quintín	Suspendida
Baja California	bc	02015	El Arco	San Quintín	Operando
Baja California	bc	02014	El Alamo	Ensenada	Suspendida
Baja California	bc	02013	Ejido Plan Nacional Agrario	Ensenada	Suspendida
Baja California	bc	02012	Ejido Jose Maria Morelos	San Quintín	Operando
Baja California	bc	02011	Delta	Mexicali	Operando
Baja California	bc	02010	Compostela	Ensenada	Suspendida
Baja California	bc	02009	Colonia Juarez	Mexicali	Suspendida
Baja California	bc	02008	Colonia Guerrero	San Quintín	Suspendida
Baja California	bc	02007	Cerro Prieto (Cfe)	Mexicali	Suspendida
Baja California	bc	02006	Chapala	San Quintín	Operando
Baja California	bc	02005	Boquilla Santa Rosa De La Mision	Ensenada	Suspendida
Baja California	bc	02004	Ignacio Zaragoza -Belen-	Ensenada	Operando
Baja California	bc	02003	Bataquez	Mexicali	Suspendida
Baja California	bc	02002	Bahia De Los Angeles	San Quintín	Operando
Baja California	bc	02001	Agua Caliente	Ensenada	Operando
Aguascalientes	ags	01108	Arroyo Hondo (Cycna)	Tepezalá	Suspendida
Aguascalientes	ags	01106	La Primavera	Jesús María	Operando
Aguascalientes	ags	01105	Los Cuartos	Jesús María	Operando
Aguascalientes	ags	01104	Abelardo L. Rodriguez	Jesús María	Suspendida
Aguascalientes	ags	01103	Alamitos Campamento	San José De Gracia	Operando
Aguascalientes	ags	01102	Pabellon De Arteaga (Dge)	Pabellón De Arteaga	Operando
Aguascalientes	ags	01101	Las Presas	El Llano	Operando
Aguascalientes	ags	01099	Jesus Teran (El Muerto)	El Llano	Operando
Aguascalientes	ags	01098	La Posta U.A.A.	Jesús María	Operando
Aguascalientes	ags	01097	Aguascalientes Ii	Aguascalientes	Operando
Aguascalientes	ags	01096	Calvillito	Aguascalientes	Operando
Aguascalientes	ags	01095	Milpillas De Arriba	Jesús María	Operando
Aguascalientes	ags	01094	El Chayote	Tepezalá	Operando
Aguascalientes	ags	01091	Los Alisos	Calvillo	Operando
Aguascalientes	ags	01090	Jesus Maria (Dge)	Jesús María	Operando
Aguascalientes	ags	01089	Presa 50 Aniversario	San José De Gracia	Operando
Aguascalientes	ags	01088	Cosio	Cosío	Operando
Aguascalientes	ags	01085	Tepetatillo	Asientos	Operando
Aguascalientes	ags	01084	San Gil	Asientos	Operando
Aguascalientes	ags	01083	San Francisco De Los Romo (Dge)	San Francisco De Los Romo	Operando
Aguascalientes	ags	01082	Rincon De Romos	Rincón De Romos	Operando
Aguascalientes	ags	01081	Rancho Seco	Asientos	Operando
Aguascalientes	ags	01080	Presa Canutillo	Jesús María	Operando
Aguascalientes	ags	01079	Peñuelas (Dge)	Aguascalientes	Operando
Aguascalientes	ags	01078	El Ocote	Calvillo	Operando
Aguascalientes	ags	01077	El Ocote	Aguascalientes	Operando
Aguascalientes	ags	01076	Los Negritos	Aguascalientes	Suspendida
Aguascalientes	ags	01075	Montoro	Aguascalientes	Operando
