COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 21/11/2025 

DATOS DISPONIBLES EN LA BASE DE DATOS A: NOVEMBER DE 2025; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 5210 
 NOMBRE    : EL SAUCILLO 
 ESTADO    : COAHUILA DE ZARAGOZA 
 MUNICIPIO : CANDELA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 26.81666667 ° 
 LONGITUD  : -100.7333333 ° 
 ALTITUD   : 640 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1983-07-01	0	NULO	NULO	NULO
1983-07-02	0	NULO	NULO	NULO
1983-07-03	0	NULO	NULO	NULO
1983-07-04	0	NULO	NULO	NULO
1983-07-05	4.4	NULO	NULO	NULO
1983-07-06	0	NULO	NULO	NULO
1983-07-07	0	NULO	NULO	NULO
1983-07-08	0	NULO	NULO	NULO
1983-07-09	0	NULO	NULO	NULO
1983-07-10	0	NULO	NULO	NULO
1983-07-11	0	NULO	NULO	NULO
1983-07-12	0	NULO	NULO	NULO
1983-07-13	0	NULO	NULO	NULO
1983-07-14	0	NULO	NULO	NULO
1983-07-15	0	NULO	NULO	NULO
1983-07-16	0	NULO	NULO	NULO
1983-07-17	0	NULO	NULO	NULO
1983-07-18	0	NULO	NULO	NULO
1983-07-19	0	NULO	NULO	NULO
1983-07-20	0	NULO	NULO	NULO
1983-07-21	0	NULO	NULO	NULO
1983-07-22	0	NULO	NULO	NULO
1983-07-23	0	NULO	NULO	NULO
1983-07-24	0	NULO	NULO	NULO
1983-07-25	0	NULO	NULO	NULO
1983-07-26	0	NULO	NULO	NULO
1983-07-27	0	NULO	NULO	NULO
1983-07-28	0	NULO	NULO	NULO
1983-07-29	0	NULO	NULO	NULO
1983-07-30	0	NULO	NULO	NULO
1983-07-31	0	NULO	NULO	NULO
1983-08-01	0	NULO	NULO	NULO
1983-08-02	0	NULO	NULO	NULO
1983-08-03	0	NULO	NULO	NULO
1983-08-04	1.2	NULO	NULO	NULO
1983-08-05	0	NULO	NULO	NULO
1983-08-06	0	NULO	NULO	NULO
1983-08-07	0	NULO	NULO	NULO
1983-08-08	0	NULO	NULO	NULO
1983-08-09	0	NULO	NULO	NULO
1983-08-10	0	NULO	NULO	NULO
1983-08-11	0	NULO	NULO	NULO
1983-08-12	0	NULO	NULO	NULO
1983-08-13	0	NULO	NULO	NULO
1983-08-14	0	NULO	NULO	NULO
1983-08-15	0	NULO	NULO	NULO
1983-08-16	0	NULO	NULO	NULO
1983-08-17	0	NULO	NULO	NULO
1983-08-18	0	NULO	NULO	NULO
1983-08-19	0	NULO	NULO	NULO
1983-08-20	0	NULO	NULO	NULO
1983-08-21	0	NULO	NULO	NULO
1983-08-22	0	NULO	NULO	NULO
1983-08-23	0	NULO	NULO	NULO
1983-08-24	0	NULO	NULO	NULO
1983-08-25	0	NULO	NULO	NULO
1983-08-26	0	NULO	NULO	NULO
1983-08-27	0	NULO	NULO	NULO
1983-08-28	0	NULO	NULO	NULO
1983-08-29	0	NULO	NULO	NULO
1983-08-30	0	NULO	NULO	NULO
1983-08-31	0	NULO	NULO	NULO
1983-09-01	0	NULO	NULO	NULO
1983-09-02	0	NULO	NULO	NULO
1983-09-03	0	NULO	NULO	NULO
1983-09-04	0	NULO	NULO	NULO
1983-09-05	0	NULO	NULO	NULO
1983-09-06	0	NULO	NULO	NULO
1983-09-07	0	NULO	NULO	NULO
1983-09-08	0	NULO	NULO	NULO
1983-09-09	0	NULO	NULO	NULO
1983-09-10	0	NULO	NULO	NULO
1983-09-11	0	NULO	NULO	NULO
1983-09-12	5.1	NULO	NULO	NULO
1983-09-13	0	NULO	NULO	NULO
1983-09-14	0	NULO	NULO	NULO
1983-09-15	0	NULO	NULO	NULO
1983-09-16	0	NULO	NULO	NULO
1983-09-17	0	NULO	NULO	NULO
1983-09-18	0	NULO	NULO	NULO
1983-09-19	0	NULO	NULO	NULO
1983-09-20	0	NULO	NULO	NULO
1983-09-21	0	NULO	NULO	NULO
1983-09-22	0	NULO	NULO	NULO
1983-09-23	0	NULO	NULO	NULO
1983-09-24	0	NULO	NULO	NULO
1983-09-25	0	NULO	NULO	NULO
1983-09-26	0	NULO	NULO	NULO
1983-09-27	0	NULO	NULO	NULO
1983-09-28	0	NULO	NULO	NULO
1983-09-29	0	NULO	NULO	NULO
1983-09-30	0	NULO	NULO	NULO
1983-10-01	0	NULO	NULO	NULO
1983-10-02	0	NULO	NULO	NULO
1983-10-03	0	NULO	NULO	NULO
1983-10-04	0	NULO	NULO	NULO
1983-10-05	0	NULO	NULO	NULO
1983-10-06	0	NULO	NULO	NULO
1983-10-07	0	NULO	NULO	NULO
