Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Max_Anual,Ln_Max_Anual
1990,7.77,40.64,40.64,22.35,88.9,12.7,43.69,0.0,40.64,35.05,35.56,7.62,88.9,4.487512142519859
1991,10.16,33.78,38.1,18.54,55.88,63.5,0.0,16.94,12.7,27.94,0.0,57.31,63.5,4.151039905898646
1992,27.84,27.94,55.88,45.72,38.1,35.56,25.4,53.34,33.78,0.0,19.05,10.16,55.88,4.023206534388761
1993,10.16,27.97,36.82,25.4,25.4,87.63,0.0,3.71,9.43,6.38,3.35,14.41,87.63,4.473123405067759
1994,15.02,5.6,21.76,17.25,15.55,27.87,15.72,19.18,18.95,33.24,1.13,15.07,33.24,3.5037539699872475
1995,2.1,44.45,10.16,13.97,50.8,30.48,2.54,14.25,119.38,34.45,55.88,3.99,119.38,4.782311682740504
1996,0.0,0.98,0.51,11.43,12.95,25.4,0.0,21.59,36.58,12.7,6.35,37.34,37.34,3.6200651381135764
1997,12.7,7.62,33.02,54.61,76.2,38.1,18.8,0.0,39.62,19.81,34.29,2.54,76.2,4.333361462692601
1998,5.08,20.28,0.0,8.38,0.0,3.81,0.0,34.8,34.04,50.8,40.13,2.54,50.8,3.927896354584436
1999,5.84,2.03,30.48,6.35,55.88,48.26,31.5,129.54,74.93,39.88,7.62,7.37,129.54,4.863989713754771
2000,13.97,19.05,28.19,13.97,74.93,56.64,1.78,9.91,44.45,28.45,31.75,7.11,74.93,4.316554344376219
2001,11.94,24.13,13.21,87.63,19.14,50.8,0.23,133.86,12.7,0.0,51.05,38.61,133.86,4.896794477672496
2002,0.0,6.1,0.0,0.0,42.42,45.23,91.44,0.0,42.16,38.86,27.43,22.1,91.44,4.515683019486556
2003,25.4,50.8,27.94,10.16,0.0,20.08,62.23,8.89,50.8,82.54,8.38,4.57,82.54,4.413283024324436
2004,9.4,24.13,19.99,27.79,46.48,50.8,50.8,29.21,36.32,28.7,40.64,15.24,50.8,3.927896354584436
2005,20.32,34.29,13.46,2.79,41.15,0.0,50.8,12.7,33.53,27.94,19.3,0.23,50.8,3.927896354584436
