nombre_area,TR_2,TR_5,TR_10,TR_20,TR_50,TR_100,TR_500,TR_1000,TR_10000
Cuenca Alta,4.616,6.593,8.368,10.38,13.027,15.709,22.454,27.118,42.545
Cuenca Intermedia,5.111,7.36,9.314,11.735,14.802,17.955,26.413,32.033,50.773
Cuenca Baja,1.556,2.267,2.934,3.775,4.787,5.84,8.798,10.716,17.058
