TR (AÑOS),2,5,10,20,50,100,500,1000,10000
5,153.3967367,202.4636913,239.5814095,276.6991277,325.7660823,362.8838005,449.0684732,486.1861915,609.4885824
10,114.807688,151.5311785,179.3114267,207.0916748,243.8151653,271.5954135,336.0991522,363.8794003,456.1633871
15,93.57379818,123.5052126,146.1474536,168.7896945,198.7211089,221.3633499,273.9370053,296.5792462,371.7951425
20,80.06378102,105.6737515,125.0469463,144.4201411,170.0301116,189.4033064,234.3864717,253.7596666,318.1160267
25,70.58779377,93.16668391,110.2469549,127.327226,149.9061161,166.9863872,206.6455483,223.7258194,280.4652516
30,63.50512749,83.81848793,99.18495189,114.5514159,134.8647763,150.2312403,185.9110647,201.2775286,252.323817
35,57.97166992,76.51504544,90.5425675,104.5700896,123.1134651,137.1409871,169.7118847,183.7394068,230.3378264
40,53.50556968,70.62037544,83.56722621,96.51407697,113.6288827,126.5757335,156.63739,169.5842408,212.5927481
45,49.81000754,65.74271528,77.79534341,89.84797154,105.7806793,117.8333074,145.8186433,157.8712714,197.9092354
50,46.69124182,61.62635118,72.92432527,84.22229936,99.15740872,110.4553828,136.6884663,147.9864403,185.5174979
55,44.01692711,58.09660446,68.74746922,79.39833398,93.47801133,104.1288761,128.8594182,139.510283,174.8916898
60,41.69328183,55.02969568,65.11830329,75.20691091,88.54332475,98.63193237,122.0569538,132.1455614,165.6591905
65,39.65181484,52.33522543,61.92985516,71.52448488,84.20789547,93.8025252,116.0805655,125.6751952,157.5478653
70,37.8412244,49.94548214,59.10199964,68.25851714,80.36277487,89.51929237,110.7800676,119.9365851,150.3538778
75,36.22224938,47.8086462,56.57341705,65.33818789,76.92458471,85.68935556,106.0405232,114.8052941,143.9212326
80,34.7642824,45.8843199,54.29630353,62.70828716,73.82832465,82.24030828,101.7723294,110.184313,138.1283178
85,33.44307553,44.1404991,52.23278763,60.32507617,71.02249973,79.11478827,97.90450037,105.9967889,132.8787895
90,32.23914575,42.55146877,50.35243998,58.15341119,68.46573421,76.26670542,94.37999965,102.1809709,128.0952363
95,31.1366418,41.0963073,48.63050341,56.16469951,66.12436502,73.65856112,91.15242273,98.68661883,123.7146765
100,30.12252275,39.75780239,47.04661006,54.33541773,63.97069737,71.25950504,88.18359235,95.47240002,119.685295
105,29.18595207,38.52165121,45.58383499,52.64601876,61.9817179,69.04390167,85.44178459,92.50396836,115.964035
110,28.3178435,37.37586109,44.22798688,51.08011267,60.13813026,66.99025605,82.90039943,89.75252522,112.5147944
115,27.51051585,36.31029386,42.96706895,49.62384404,58.42362204,65.08039713,80.53695023,87.19372531,109.3070535
120,26.75742725,35.3163151,41.79086382,48.26541253,56.82430038,63.2988491,78.33228567,84.80683438,106.3148197
125,26.0529681,34.38652087,40.69061018,46.9946995,55.32825227,61.63234158,76.26998367,82.57407298,103.5158044
130,25.39229806,33.51452256,39.65874821,45.80297386,53.92519837,60.06942401,74.33587417,80.48009982,100.8907756
135,24.77121645,32.69477583,38.6887171,44.68265838,52.60621776,58.60015903,72.51765968,78.51160096,98.42304289
140,24.18605827,31.92244332,37.77479269,43.62714206,51.36352711,57.21587648,70.8046109,76.65696027,96.09804406
145,23.63361002,31.19328367,36.91195602,42.63062837,50.19030202,55.90897437,69.18732037,74.90599272,93.90301107
150,23.11104118,30.50356094,36.09578625,41.68801157,49.08053132,54.67275664,67.65750171,73.24972702,91.82669741
155,22.61584784,29.8499703,35.32237268,40.79477506,48.02889752,53.5012999,66.20782474,71.68022712,89.85915434
160,22.14580615,29.22957656,34.588242,39.94690745,47.03067785,52.3893433,64.83177914,70.19044459,87.99154588
165,21.69893359,28.63976304,33.89029783,39.14083262,46.08166206,51.33219685,63.52356109,68.77409588,86.2159949
170,21.27345654,28.07818882,33.22577007,38.37335131,45.17808359,50.32566483,62.27797835,67.4255596,84.52545437
175,20.86778307,27.54275272,32.59217234,37.64159195,44.31656161,49.36598122,61.0903705,66.13979011,82.913599
180,20.48047979,27.03156289,31.98726596,36.94296902,43.49405212,48.44975518,59.95654135,64.91224441,81.37473364
185,20.11025235,26.54291095,31.40902933,36.27514771,42.7078063,47.57392468,58.87270166,63.73882004,79.9037154
190,19.75592865,26.07524986,30.85563182,35.63601377,41.95533499,46.73571694,57.83542011,62.61580207,78.4958872
195,19.4164445,25.62717506,30.32541135,35.02364764,41.23437819,45.93261449,56.84158133,61.53981763,77.14702077
200,19.09083132,25.19740811,29.81685512,34.43630214,40.54287893,45.16232594,55.88834974,60.50779676,75.85326758
205,18.77820539,24.78478265,29.32858294,33.87238323,39.87896049,44.42276077,54.97313832,59.51693861,74.61111644
210,18.47775868,24.38823216,28.85933275,33.33043333,39.24090682,43.71200741,54.09358148,58.56468206,73.41735672
215,18.18875069,24.0067793,28.40794804,32.80911679,38.6271454,43.02831414,53.24751149,57.64868023,72.26904633
220,17.91050152,23.63952667,27.9733669,32.30720713,38.03623228,42.37007251,52.43293789,56.76677812,71.16348373
225,17.6423856,23.28564862,27.5546123,31.82357598,37.466839,41.73580268,51.64802938,55.91699306,70.09818344
230,17.38382636,22.94438414,27.15078372,31.35718329,36.91774107,41.12414065,50.891098,55.09749758,69.07085451
235,17.13429138,22.6150305,26.7610496,30.90706869,36.38780781,40.5338269,50.16058512,54.30660421,68.07938152
240,16.89328821,22.29693774,26.38464081,30.47234388,35.87599341,39.96369648,49.45504908,53.54275214,67.12180781
245,16.6603606,21.98950367,26.02084478,30.05218588,35.38132895,39.41267006,48.77315423,52.80449534,66.19632062
250,16.43508522,21.69216954,25.6690003,29.64583107,34.90291539,38.87974615,48.11366124,52.090492,65.30123785
255,16.21706863,21.40441607,25.32849292,29.25256977,34.43991721,38.36399406,47.47541835,51.3994952,64.43499634
260,16.0059447,21.12576001,24.99875078,28.87174155,33.99155686,37.86454763,46.85735371,50.73034448,63.59614132
265,15.80137223,20.85575102,24.67924097,28.50273092,33.55710971,37.38059967,46.25846841,50.08195836,62.78331706
270,15.60303278,20.59396881,24.36946617,28.14496353,33.13589955,36.91139691,45.6778303,49.45332765,61.9952584
275,15.41062885,20.34002071,24.0689617,27.79790269,32.72729455,36.45623554,45.11456838,48.84350937,61.23078321
280,15.22388209,20.09353934,23.77729284,27.46104634,32.33070358,36.01445708,44.56786783,48.25162133,60.48878557
285,15.04253181,19.8541806,23.49405241,27.13392421,31.94557301,35.58544481,44.03696542,47.67683722,59.76822963
290,14.86633351,19.62162183,23.21885858,26.81609533,31.57138365,35.16862039,43.52114546,47.11838221,59.06814402
295,14.69505771,19.39556011,22.9513529,26.5071457,31.2076481,34.76344089,43.01973608,46.57552888,58.38761687
300,14.52848873,19.17571076,22.69119853,26.20668629,30.85390833,34.36939609,42.53210589,46.04759365,57.72579121
305,14.36642365,18.96180599,22.43807854,25.91435109,30.50973344,33.98600598,42.05766088,45.53393342,57.08186087
310,14.20867141,18.75359361,22.19169453,25.62979545,30.17471765,33.61281857,41.59584169,45.03394261,56.45506665
315,14.05505191,18.55083589,21.95176519,25.35269449,29.84847848,33.24940777,41.14612106,44.54705036,55.84469294
320,13.90539521,18.35330856,21.71802513,25.08274169,29.53065505,32.89537161,40.70800153,44.07271809,55.25006458
325,13.75954084,18.16079981,21.4902237,24.81964759,29.22090657,32.55033045,40.28101332,43.61043721,54.67054396
330,13.61733713,17.97310946,21.26812402,24.56313859,28.91891092,32.21392549,39.86471239,43.15972696,54.10552843
335,13.47864059,17.79004811,21.051502,24.31295588,28.6243634,31.88581729,39.4586787,42.72013259,53.55444788
340,13.34331537,17.61143647,20.84014544,24.06885441,28.33697551,31.56568448,39.06251455,42.29122353,53.01676257
345,13.21123276,17.43710465,20.63385332,23.830602,28.05647389,31.25322256,38.67584312,41.8725918,52.49196103
350,13.08227069,17.26689153,20.432435,23.59797846,27.7825993,30.94814276,38.29830707,41.46385053,51.9795583
355,12.95631333,17.10064424,20.23570954,23.37077485,27.51510575,30.65017106,37.92956727,41.06463258,51.47909409
360,12.83325066,16.93821756,20.04350514,23.14879272,27.25375962,30.3590472,37.56930168,40.67458926,50.99013133
365,12.71297813,16.7794735,19.8556585,22.93184349,26.99833886,30.07452386,37.21720422,40.29338922,50.51225458
370,12.59539631,16.62428083,19.67201431,22.7197478,26.74863232,29.7963658,36.87298381,39.92071729,50.04506878
375,12.48041057,16.47251464,19.49242479,22.51233495,26.50443902,29.52434917,36.5363634,39.55627355,49.58819793
380,12.36793079,16.324056,19.31674919,22.30944238,26.26556759,29.25826079,36.20707919,39.19977239,49.14128398
385,12.25787109,16.17879155,19.14485338,22.11091521,26.03183567,28.9978975,35.88487978,38.85094161,48.70398572
390,12.15014961,16.03661324,18.97660948,21.91660572,25.80306935,28.74306559,35.56952546,38.5095217,48.27597781
395,12.0446882,15.89741793,18.81189546,21.72637299,25.57910272,28.49358025,35.26078751,38.17526504,47.85694983
400,11.94141228,15.76110719,18.65059484,21.54008249,25.35977739,28.24926504,34.95844759,37.84793524,47.44660544
405,11.84025062,15.62758698,18.49259634,21.35760569,25.14494206,28.00995141,34.66229713,37.52730649,47.04466156
410,11.74113511,15.49676743,18.33779361,21.17881979,24.93445211,27.77547829,34.37213679,37.21316297,46.65084765
415,11.64400065,15.3685626,18.18608496,21.00360731,24.72816927,27.54569163,34.08777594,36.9052983,46.26490496
420,11.54878492,15.24289026,18.03737307,20.83185588,24.52596122,27.32044403,33.80903218,36.603515,45.88658596
425,11.45542828,15.11967167,17.89156478,20.6634579,24.32770129,27.09959441,33.53573091,36.30762403,45.51565365
430,11.3638736,14.99883143,17.74857088,20.49831033,24.13326816,26.88300761,33.26770489,36.01744434,45.15188106
435,11.27406615,14.88029731,17.60830586,20.33631442,23.94254558,26.67055413,33.00479385,35.7328024,44.79505067
440,11.18595343,14.76400001,17.47068775,20.1773755,23.75542207,26.46210982,32.74684414,35.45353188,44.44495395
445,11.09948511,14.64987309,17.33563792,20.02140275,23.57179073,26.25755556,32.49370838,35.17947321,44.10139085
450,11.01461286,14.53785279,17.20308091,19.86830903,23.39154896,26.05677708,32.24524513,34.91047325,43.76416942
455,10.9312903,14.42787788,17.07294427,19.71801066,23.21459824,25.85966463,32.0013186,34.64638499,43.43310536
460,10.84947288,14.31988955,16.94515842,19.57042728,23.04084396,25.66611282,31.76179836,34.38706723,43.10802163
465,10.76911779,14.21383131,16.81965649,19.42548167,22.87019519,25.47602037,31.52655907,34.13238425,42.78874814
470,10.69018386,14.10964881,16.69637419,19.28309957,22.70256453,25.28928991,31.29548024,33.88220562,42.47512133
475,10.61263151,14.00728982,16.57524971,19.14320959,22.5378679,25.10582778,31.06844598,33.63640586,42.16698394
480,10.53642265,13.90670407,16.45622354,19.00574301,22.37602443,24.9255439,30.84534479,33.39486426,41.86418462
485,10.46152063,13.80784317,16.33923845,18.87063373,22.21695626,24.74835154,30.62606936,33.15746463,41.56657773
490,10.38789015,13.71066053,16.22423929,18.73781805,22.06058843,24.57416719,30.41051633,32.92409509,41.27402299
495,10.31549719,13.61511126,16.11117295,18.60723464,21.90684872,24.40291041,30.19858617,32.69464786,40.98638531
500,10.24430899,13.52115212,15.99998826,18.4788244,21.75566753,24.23450367,29.99018294,32.46901908,40.70353449
505,10.17429397,13.42874142,15.89063588,18.35253034,21.6069778,24.06887226,29.78521418,32.24710864,40.42534502
510,10.10542165,13.33783895,15.78306824,18.22829752,21.46071482,23.90594411,29.58359069,32.02881998,40.15169585
515,10.03766266,13.24840592,15.67723942,18.10607293,21.31681619,23.74564969,29.38522646,31.81405996,39.88247023
520,9.970988636,13.16040489,15.57310515,17.98580541,21.17522167,23.58792193,29.19003845,31.60273871,39.61755548
525,9.905372196,13.07379975,15.47062267,17.86744558,21.03587314,23.43269605,28.99794652,31.39476944,39.35684283
530,9.840786906,12.98855559,15.36975067,17.75094575,20.89871444,23.27990952,28.80887328,31.19006837,39.10022722
535,9.777207226,12.9046387,15.27044928,17.63625986,20.76369133,23.12950191,28.62274397,30.98855455,38.84760718
540,9.714608478,12.82201651,15.17267995,17.52334338,20.63075142,22.98141486,28.43948633,30.79014976,38.59888467
545,9.652966808,12.74065755,15.07640542,17.4121533,20.49984404,22.83559191,28.25903053,30.5947784,38.35396489
550,9.592259149,12.66053135,14.98158967,17.302648,20.3709202,22.69197852,28.08130904,30.40236737,38.11275621
555,9.532463194,12.58160849,14.88819786,17.19478723,20.24393253,22.5505219,27.90625657,30.21284594,37.87516998
560,9.473557356,12.50386046,14.79619627,17.08853208,20.11883519,22.411171,27.73380991,30.02614572,37.64112044
565,9.415520748,12.42725971,14.70555228,16.98384485,19.99558381,22.27387639,27.56390792,29.84220049,37.4105246
570,9.358333147,12.35177953,14.6162343,16.88068908,19.87413546,22.13859024,27.39649139,29.66094617,37.1833021
575,9.301974971,12.27739409,14.52821176,16.77902943,19.75444855,22.00526622,27.23150301,29.48232068,36.95937514
580,9.246427252,12.20407834,14.44145502,16.6788317,19.63648279,21.87385947,27.06888723,29.30626391,36.73866836
585,9.191671615,12.13180804,14.35593539,16.58006273,19.52019916,21.7443265,26.90859027,29.13271762,36.52110874
590,9.137690248,12.06055967,14.27162504,16.48269041,19.40555983,21.6166252,26.75055999,28.96162536,36.30662551
595,9.084465887,11.99031046,14.18849702,16.38668358,19.29252815,21.49071471,26.59474584,28.7929324,36.09515009
600,9.031981792,11.9210383,14.10652517,16.29201205,19.18106855,21.36655543,26.44109881,28.62658569,35.88661594
605,8.980221724,11.85272175,14.02568414,16.19864653,19.07114656,21.24410895,26.28957137,28.46253376,35.68095857
610,8.929169932,11.78534005,13.94594933,16.10655861,18.96272873,21.12333801,26.14011741,28.30072669,35.47811537
615,8.87881113,11.71887299,13.86729686,16.01572072,18.85578258,21.00420644,25.99269217,28.14111603,35.27802562
620,8.829130481,11.65330102,13.78970355,15.92610609,18.75027662,20.88667916,25.84725223,27.98365476,35.08063037
625,8.780113582,11.5886051,13.71314692,15.83768873,18.64618025,20.77072207,25.7037554,27.82829722,34.88587237
630,8.731746445,11.52476679,13.63760511,15.75044343,18.54346377,20.6563021,25.56216076,27.67499908,34.69369607
635,8.684015484,11.46176814,13.56305691,15.66434567,18.44209833,20.54338709,25.42242852,27.52371728,34.50404747
