,TR (AÑOS),2,5,10,20,50,100,500,1000,10000
81,410,6.1549234925395915,8.123696476704383,9.61301574586822,11.728511268611248,14.784805205486728,17.09680231689988,22.465093365188515,24.77709047660167,32.45737863630347
82,415,6.104003781228223,8.056489097136405,9.533487220906933,11.62772002320285,14.65774910299828,16.949877617033387,22.272035210863923,24.564163724899025,32.17844983276467
83,420,6.054089907450351,7.990609291962634,9.455529654879415,11.528966467091102,14.53326168451672,16.805923283165626,22.082880099240146,24.355541697889056,31.905160112612485
84,425,6.005150604554096,7.926015793279416,9.379094214227107,11.432186268696178,14.411261854508732,16.664845538322027,21.897504807947882,24.151088491761175,31.637331445200324
85,430,5.957155925364311,7.862669074720329,9.304134126205131,11.337317841126385,14.291671977358343,16.52655460649536,21.71579137186433,23.95067400100135,31.37479339550734
86,435,5.910077172135482,7.800531259003165,9.230604569479832,11.244302195317214,14.174417692235929,16.390964498564593,21.537626801811975,23.754173608140636,31.11738271771668
87,440,5.863886830969652,7.7395660313701224,9.158462571699946,11.153082802585185,14.059427739835474,16.25799281193792,21.362902821290664,23.56146789339311,30.864942974848297
88,445,5.818558510368169,7.679738558484144,9.087666913524181,11.063605465895451,13.946633800096173,16.127560542897847,21.19151561990024,23.37244236270192,30.617324182505993
89,450,5.774066883614024,7.621015412381094,9.018178038631536,10.97581819920123,13.835970340099353,15.999591910712716,21.023365622224205,23.186987192837567,30.374382474962413
90,455,5.730387634706851,7.563364499111028,8.949957969280339,10.889671114267037,13.727374471399356,15.874014192657501,20.858357271047964,23.00499699230611,30.13597979195472
91,460,5.687497407595627,7.506754991731962,8.882970227017772,10.80511631443627,13.620785816108338,15.750757569157418,20.696398823878575,22.82637057692765,29.90198358469788
92,465,5.645373758474899,7.451157267347123,8.817179758174124,10.72210779484792,13.516146381110815,15.62975497833256,20.537402161817198,22.65101075903895,29.672266539745337
93,470,5.603995110929318,7.396542847901572,8.752552863805645,10.640601348647369,13.413400439834218,15.510941979280137,20.381282609912905,22.478824149358825,29.44670631943751
94,475,5.563340713728445,7.342884344476861,8.689057133776755,10.56055447877264,13.312494421047832,15.394256623484173,20.227958768195712,22.30972097063205,29.22518531777993
95,480,5.523390601089506,7.290155404843043,8.62666138469672,10.481926314930774,13.213376804204318,15.279639333790904,20.077352352651037,22.143614882237628,29.00759043068435
96,485,5.484125555239998,7.238330664046195,8.565335601448382,10.40467753540932,13.115998020876301,15.167032790432359,19.929388045455397,21.980422815011455,28.79381283959055
97,490,5.445527071125127,7.187385697826848,8.505050882066797,10.328770293395422,13.020310361875218,15.056381823620749,19.78399335384608,21.8200648155916,28.58374780756246
98,495,5.407577323116966,7.137296978680396,8.445779385744158,10.254168147500314,12.926267889671404,14.947633312273132,19.641098477045954,21.66246389964768,28.37729448702223
99,500,5.370259133593027,7.088041834384926,8.387494283754545,10.180835996210076,12.833826355763598,14.84073608845944,19.500636180708803,21.50754591340465,28.174355738349853
100,505,5.333555943261981,7.039598408835033,8.330169713107386,10.108740016004521,12.742943122672415,14.735640847197544,19.362541678390574,21.355239402915707,27.974837958633866
101,510,5.29745178312333,6.991945625032239,8.273780732752899,10.03784760290539,12.653577090256807,14.632300061247367,19.226752519589343,21.205475490579904,27.77865091991244
102,515,5.261931247956188,6.945063150093642,8.218303282175764,9.96812731723285,12.565688626074815,14.530667900581642,19.09320848393044,21.05818775843727,27.585707616292893
103,520,5.226979471239985,6.89893136215052,8.163714142225256,9.89954883136528,12.479239499530276,14.430700156234757,18.96185148110423,20.91331213780871,27.39592411938267
104,525,5.192582101416979,6.853531319017936,8.109990898041014,9.832082880312464,12.394192819566019,14.332354168252582,18.832625456192705,20.770786804879265,27.20921944150595
105,530,5.158725279412884,6.808844728524902,8.057111903943865,9.765701214925766,12.31051297568125,14.235588757486397,18.70547630004703,20.63055208185218,27.025515406217963
106,535,5.125395617337907,6.764853920402523,8.00505625017017,9.700376557581622,12.228165582066756,14.140364160992124,18.580351764402625,20.492550343327995,26.844736525663865
107,540,5.092580178295904,6.721541819634713,7.9538037313369605,9.636082560186152,12.147117424666073,14.046641970813097,18.457201381440047,20.35672592758707,26.666809884361044
108,545,5.060266457234471,6.678891921182823,7.903334816532792,9.572793764359357,12.067336410984208,13.954385075940074,18.335976387520795,20.223025052476654,26.491665029013244
109,550,5.028442362773393,6.636888266001546,7.853630620936673,9.510485563667258,11.988791522477984,13.863557607256515,18.216629650845775,20.09139573562431,26.3192338639921
110,555,4.99709619995317,6.595515418269236,7.80467287887398,9.449134167779281,11.911452769373314,13.774124885290362,18.099115602801444,19.96178771871849,26.14945055214662
111,560,4.966216653849283,6.554758443760873,7.756443918224555,9.388716568436685,11.83529114776546,13.686053370605757,17.983390172774833,19.834152395615135,25.982251420624507
112,565,4.935792774001566,6.514602889296849,7.708926636103824,9.329210507125412,11.760278598867847,13.599310616679361,17.869410726233312,19.708442744044824,25.817574871410283
113,570,4.905813959611354,6.475034763205153,7.662104475743118,9.270594444354032,11.686387970284255,13.513865225116383,17.757136005878735,19.584613260710864,25.655361296305344
114,575,4.876269945462283,6.436040516738657,7.615961404500166,9.212847530443877,11.613592979187253,13.42968680307102,17.646526075698166,19.462619899581934,25.495552996092844
115,580,4.8471507885234715,6.397607026393058,7.570481892935399,9.155949577744773,11.541868177293715,13.346745922744944,17.537542267745117,19.342420013196346,25.338094103647745
116,585,4.818446855196492,6.359721577074544,7.525650894893741,9.099881034195233,11.471188917535162,13.265014082845669,17.43014713149611,19.22397229680662,25.182930510767562
117,590,4.7901488091700495,6.322371846069557,7.481453828535527,9.044622958151423,11.401531322327477,13.184463671894399,17.32430438563738,19.107236735204303,25.030009798514204
118,595,4.76224759984859,6.285545887772062,7.4378765582638415,8.990156994413883,11.33287225335052,13.105067933279878,17.219978872145873,18.992174552075234,24.879281170870588
119,600,4.734734451323172,6.24923211912654,7.394905377498746,8.936465351385698,11.265189282754003,13.026800931961542,17.11713651253739,18.878748161744927,24.730695391528315
120,605,4.707600851854992,6.2134193057476015,7.352526992252226,8.883530779299782,11.198460665711142,12.949637522731198,17.015744266162617,18.76692112318267,24.584204723634144
121,610,4.680838543843701,6.178096548679487,7.310728505460286,8.831336549457138,11.132665314246623,12.873553319948304,16.915770090439466,18.65665809614115,24.439762872333993
122,615,4.654439514254486,6.143253271761055,7.269497402031565,8.77986643442122,11.067782772269906,12.798524668669067,16.817182902916915,18.547924799316075,24.29732492996309
123,620,4.628395985479415,6.108879209563947,7.228821534574204,8.729104689117182,11.003793191749207,12.724528617094595,16.719952545072008,18.440687970417397,24.1568473237402
124,625,4.60270040661003,6.074964395873555,7.188689109765026,8.679036032787856,10.940677309965414,12.651542890267844,16.624049747747836,18.334915328050272,24.018287765832692
125,630,4.577345445099627,6.041499152684309,7.149088675327323,8.629645631761116,10.878416427788876,12.579545864953435,16.529446098145755,18.23057553531031,23.881605205667196
126,635,4.552323978794883,6.0084740796824745,7.110009107585537,8.580919082986185,10.816992388925474,12.508516545638262,16.43611400829034,18.12763816500313,23.746759784367992
127,640,4.527629088317754,5.9758800441912445,7.071439599566977,8.53284239829882,10.756387560081544,12.438434541594697,16.344026684890576,18.026073666403725,23.613712791212762
128,645,4.503254049779652,5.9437081715543965,7.033369649622523,8.485401989377829,10.696584812000243,12.369280044951484,16.25315810052514,17.925853333476386,23.482426622001284
129,650,4.479192327810986,5.911949835936217,6.995789050539877,8.438584653357466,10.637567501324728,12.301033809720744,16.163482966084025,17.82694927448004,23.35286473923934
130,655,4.455437568890145,5.880596651516605,6.958687879124483,8.392377559062355,10.579319453246104,12.233677131732456,16.074976704402562,17.729334382888915,23.224991634045374
131,660,4.431983594956887,5.849640464061591,6.9220564862246565,8.346768233833613,10.521824944896581,12.167191829430715,15.987615425027819,17.632982309561953,23.09877278969319
132,665,4.408824397295981,5.81907334285054,6.8858854871788004,8.301744550916455,10.465068689450476,12.101560225488484,15.90137590006052,17.53786743609853,22.974174646708576
133,670,4.385954130677748,5.788887572942428,6.850165752663861,8.257294717381493,10.409035820897968,12.036765129200333,15.816235541019179,17.443964849321542,22.851164569442755
134,675,4.3633671077429135,5.7590756477645835,6.814888399925353,8.213407262553304,10.353711879458276,11.972789819614576,15.732172376675853,17.351250316832154,22.729710814049735
135,680,4.34105779361986,5.729630262008153,6.780044784370362,8.170071026921484,10.299082797601123,11.909618029368815,15.649165031816143,17.259700263583834,22.609782497798854
136,685,4.319020800763047,5.700544304815502,6.745626491505973,8.12727515151069,10.24513488664671,11.847233929194465,15.567192706878236,17.16929174942599,22.491349569657523
137,690,4.297250884002002,5.671810853245516,6.7116253292065835,8.085009067687526,10.191854823916444,11.785622113058169,15.48623515842881,17.080002447570536,22.374382782082904
138,695,4.275742935790826,5.643423166003578,6.678033320294375,8.043262487383354,10.139229640407923,11.724767583909427,15.406272680435503,16.991810623937006,22.25885366396459
139,700,4.254491981648758,5.615374677423699,6.644842695418203,8.002025393713181,10.087246708969252,11.664655740005653,15.327286086298129,16.904695117334526,22.144734494663403
140,705,4.23349317578278,5.587658991690933,6.612045886216795,7.961288031971987,10.035893732949106,11.60527236178738,15.249256691602774,16.818635320441047,22.03199827909471
141,710,4.212741796883826,5.56026987729292,6.579635518753104,7.921040900990688,9.985158735300196,11.546603599277752,15.172166297564816,16.733611161542374,21.920618723806992
142,715,4.19223324408851,5.53320126168989,6.5476044072071495,7.881274744835063,9.935030048115033,11.488635959981941,15.095997175128824,16.649603086995732,21.81057021400953
143,720,4.171963033098767,5.5064472261930995,6.515945547815534,7.841980544831698,9.885496302573943,11.431356297263266,15.020732049694834,16.566592044384155,21.701827791505046
144,725,4.151926792452219,5.480002001042203,6.484652113046322,7.803149511905969,9.836546419286435,11.374751799174156,14.946354086442343,16.484559466330065,21.59436713348597
145,730,4.132120259936394,5.453859960672476,6.453717445998639,7.764773079217793,9.788169599007919,11.318809977721207,14.872846876224617,16.4034872549379,21.4881645321546
146,735,4.112539279140329,5.428015619163403,6.423135055016806,7.726842895081642,9.740355313714774,11.263518658544582,14.800194422007525,16.323357766837333,21.383196875130086
147,740,4.093179796137413,5.402463625860443,6.392898608509473,7.689350816158041,9.693093298021642,11.208865970993187,14.728381125828339,16.244153798799886,21.27944162660658
148,745,4.074037856293624,5.377198761162325,6.36300192996459,7.652288900904368,9.646373540925593,11.154840338577799,14.657391776251234,16.165858573903442,21.176876809229086
149,750,4.05510960119562,5.352215932466534,6.33343899315157,7.615649403273465,9.600186277862672,11.101430469785457,14.587211536297449,16.088455728220236,21.07548098665501
150,755,4.036391265693437,5.327510170266051,6.304203917502453,7.579424766649097,9.554521983063026,11.048625349239096,14.517825931829092,16.011929298005164,20.975233246771232
151,760,4.017879175052786,5.303076624390758,6.275290963664241,7.543607618007866,9.509371362191493,10.996414229187316,14.449220840366761,15.936263707362583,20.876113185537854
152,765,3.999569742212202,5.278910560387233,6.2466945292150085,7.50819076229775,9.464725345261256,10.944786621309868,14.38138248032199,15.861443756370607,20.778100891431343
153,770,3.9814594651405466,5.255007356031,6.218409144536728,7.473167177023812,9.420575079808662,10.893732288825221,14.31429740062664,15.7874546096432,20.681176930461174
154,775,3.963544924290553,5.231362497965541,6.190429468838125,7.438530007032258,9.376911924318078,10.843241238887172,14.24795247074209,15.714281785311185,20.585322331735195
155,780,3.9458227801443546,5.207971578462701,6.16275028632116,7.40427255948429,9.33372744188599,10.79330371525818,14.182334871032074,15.641911144404263,20.49051857355035
156,785,3.928289770847089,5.184830292299379,6.13536650248512,7.370388299011718,9.291013394114241,10.743910191247654,14.117432083483587,15.570328880617,20.396747569986342
157,790,3.910942709924914,5.161934433745579,6.108273140562501,7.336870843046676,9.248761735222729,10.695051362903994,14.053231882761313,15.499521510442584,20.30399165798117
158,795,3.8937784840838843,5.139279893659232,6.081465338081209,7.303713957318107,9.20696460637233,10.646718142449792,13.989722327581477,15.429475863658938,20.212233584868088
159,800,3.876794051086366,5.116862656683337,6.05493834354786,7.270911551508083,9.165614330189326,10.598901651949962,13.92689175239184,15.360179074152477,20.12145649635499
160,805,3.8599864377017794,5.094678798541205,6.028687513247151,7.2384576750613405,9.124703405482954,10.551593217203262,13.864728759345184,15.291618571065488,20.031643924927717
161,810,3.8433527377286287,5.072724483425797,6.002708308152603,7.2063465131417095,9.084224502148123,10.504784361847921,13.80322221055413,15.223782070253929,19.94277977865994
162,815,3.8268901100849364,5.050995961479349,5.976996290944103,7.174572382729417,9.044170456245748,10.45846680167264,13.742361220615866,15.156657566042757,19.85484833041287
163,820,3.8105957769643015,5.029489566359604,5.951547123127971,7.143129728853578,9.004534265253465,10.412632439124632,13.682135149395688,15.090233323266855,19.76783420740908
164,825,3.7944670220549344,5.008201712889181,5.926356562255375,7.112013120954346,8.965309083479807,10.367273358006688,13.622533595059032,15.02449786958591,19.681722381165134
165,830,3.778501188819191,4.987128894784769,5.901420459235226,7.08121724936955,8.926488217635313,10.322381818355703,13.563546387341855,14.959439988062245,19.59649815776879
166,835,3.7626956788311654,4.966267682462979,5.876734755737768,7.0507369219408496,8.888065122554282,10.277950251495419,13.50516358104999,14.895048709991126,19.51214716848683
167,840,3.7470479501700606,4.945614720919798,5.85229548168528,7.020567060734618,8.850033397061171,10.23397125525643,13.447375449778239,14.831313307973495,19.42865536069056
168,845,3.73155551586717,4.925166727680806,5.8280987528265005,6.99070269887309,8.81238677997597,10.190437589356868,13.39017247984065,14.768223289221549,19.34600898908623
169,850,3.716215942404347,4.904920490819351,5.804140768391476,6.961138977471368,8.775119146253049,10.147342170937494,13.333545364403626,14.705768389088067,19.264194607238643
170,855,3.7010268482619813,4.884872867040074,5.780417808823739,6.931871142676221,8.738224503248299,10.104678070245065,13.277484997813914,14.643938564810682,19.183199059376296
171,860,3.685985902514581,4.865020779825251,5.756926233586815,6.902894542802692,8.701696987109571,10.062438506458358,13.221982470114028,14.582723989462817,19.10300947246727
172,865,3.6710908234721185,4.845361217641553,5.733662479042228,6.874204625564744,8.665530859285676,10.020616843651236,13.167029061737727,14.52211504610329,19.02361324855534
173,870,3.656339377365408,4.8258912322049135,5.710623056396273,6.845796935396352,8.629720503149382,9.979206586887567,13.112616238378788,14.462102322116975,18.944998057346382
174,875,3.6417293770738417,4.8066079368013055,5.687804549712934,6.817667110859564,8.594260420730057,9.938201378442944,13.058735646026326,14.402676603739213,18.86715182903548
175,880,3.627258680893889,4.787508504661324,5.665203613990471,6.789810882136274,8.559145229551826,9.897594994148372,13.005379106160474,14.343828870757017,18.790062747365663
176,885,3.612925191346829,4.768590167386543,5.6428169732993005,6.762224068600493,8.524369659573209,9.85738133985137,12.952538611102248,14.285550291380412,18.713719242909452
177,890,3.59872685402426,4.749850213425747,5.620641418978854,6.7349025764681665,8.48992855022451,9.81755444799006,12.900206319511959,14.227832217277513,18.63810998656496
178,895,3.584661656469977,4.731285986599146,5.598673807891251,6.707842396521577,8.455816847539236,9.778108474276012,12.848374552030448,14.170666178767224,18.563223883258438
179,900,3.5707276270968937,4.71289488466886,5.576911060729698,6.681039601905623,8.422029601376112,9.739037694481835,12.797035787058046,14.114043880163772,18.489050065845706
180,905,3.556922834137698,4.694674357953916,5.555350160379587,6.654490345993287,8.388561962728314,9.700336501329659,12.746182656666033,14.057957195267377,18.415577889205096
181,910,3.543245384628039,4.676621907988194,5.53398815033039,6.628190860317771,8.355409181116752,9.661999401476775,12.695807942635778,14.002398162995798,18.342796924514822
